titulo;preco_old;preco_new;link
10 histórias para tentar entender um mundo caótico;R$ 49,90;R$ 24,95;https://leitura.com.br/10-historias-para-tentar-entender-um-mundo-caotico-L999-9786555640380?page=1&limit=96
10 Ideias para combater o preconceito;R$ 54,90;R$ 45,57;https://leitura.com.br/10-ideias-para-combater-o-preconceito-L999-9786555305609?page=1&limit=96
10 Ideias para salvar o planeta;R$ 54,90;R$ 45,57;https://leitura.com.br/10-ideias-para-salvar-o-planeta-L999-9786555305616?page=1&limit=96
10 lições sobre Adorno;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-adorno-L999-9788532651365?page=1&limit=96
10 lições sobre Beauvoir;R$ 24,50;R$ 20,33;https://leitura.com.br/10-licoes-sobre-beauvoir-L999-9786557139028?page=1&limit=96
10 lições sobre Bobbio;R$ 24,50;R$ 20,33;https://leitura.com.br/10-licoes-sobre-bobbio-L999-9788532652195?page=1&limit=96
10 lições sobre bodin;R$ 24,50;R$ 20,33;https://leitura.com.br/10-licoes-sobre-bodin-L999-9788532640796?page=1&limit=96
10 lições sobre Bourdieu;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-bourdieu-L999-9788532659484?page=1&limit=96
10 lições sobre Carl Schmitt;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-carl-schmitt-L999-9788532647016?page=1&limit=96
10 lições sobre Foucalt;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-foucalt-L999-9788532643346?page=1&limit=96
10 lições sobre Gadamer;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-gadamer-L999-9788532653406?page=1&limit=96
10 lições sobre goffman;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-goffman-L999-9786557132388?page=1&limit=96
10 lições sobre Gramsci;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-gramsci-L999-9786557138946?page=1&limit=96
10 lições sobre hannah arendt;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-hannah-arendt-L999-9788532643865?page=1&limit=96
10 lições sobre Hegel;R$ 25,00;R$ 22,50;https://leitura.com.br/10-licoes-sobre-hegel-L999-9788532666437?page=1&limit=96
10 lições sobre heidegger;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-heidegger-L999-9788532649348?page=1&limit=96
10 lições sobre hobbes;R$ 24,50;R$ 20,33;https://leitura.com.br/10-licoes-sobre-hobbes-L999-9788532648259?page=1&limit=96
10 lições sobre horkheimer;R$ 24,50;R$ 20,33;https://leitura.com.br/10-licoes-sobre-horkheimer-L999-9788532653819?page=1&limit=96
10 lições sobre hume;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-hume-L999-9788532644015?page=1&limit=96
10 lições sobre Kant;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-kant-L999-9788532634214?page=1&limit=96
10 lições sobre kierkegaard;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-kierkegaard-L999-9786557130094?page=1&limit=96
10 lições sobre leibniz;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-leibniz-L999-9788532651372?page=1&limit=96
10 lições sobre Luhmann;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-luhmann-L999-9788532652300?page=1&limit=96
10 lições sobre maquiavel;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-maquiavel-L999-9788532639738?page=1&limit=96
10 lições sobre Marx;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-marx-L999-9788532638984?page=1&limit=96
10 lições sobre Max Weber;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-max-weber-L999-9788532651563?page=1&limit=96
10 lições sobre merleau-ponty;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-merleau-ponty-L999-9788532659569?page=1&limit=96
10 lições sobre Nietzsche;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-nietzsche-L999-9788532654199?page=1&limit=96
10 lições sobre norbert elias;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-norbert-elias-L999-9786557135525?page=1&limit=96
10 lições sobre pascal;R$ 24,50;R$ 20,33;https://leitura.com.br/10-licoes-sobre-pascal-L999-9788532654403?page=1&limit=96
10 lições sobre Paulo Freire;R$ 24,50;R$ 20,33;https://leitura.com.br/10-licoes-sobre-paulo-freire-L999-9786557138052?page=1&limit=96
10 lições sobre rawls;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-rawls-L999-9788532660213?page=1&limit=96
10 lições sobre rousseau;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-rousseau-L999-9788532643490?page=1&limit=96
10 lições sobre santo agostinho;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-santo-agostinho-L999-9788532643223?page=1&limit=96
10 lições sobre scheler;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-scheler-L999-9788532664655?page=1&limit=96
10 lições sobre schopenhauer;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-schopenhauer-L999-9788532640895?page=1&limit=96
10 lições sobre Sloterdijk;R$ 25,00;R$ 20,83;https://leitura.com.br/10-licoes-sobre-sloterdijk-L999-9788532656476?page=1&limit=96
10 lições sobre Sócrates;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-socrates-L999-9788532661098?page=1&limit=96
10 lições sobre Walter Benjamin;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-walter-benjamin-L999-9788532650481?page=1&limit=96
10 lições sobre wittgenstein;R$ 25,00;R$ 20,75;https://leitura.com.br/10-licoes-sobre-wittgenstein-L999-9788532654007?page=1&limit=96
10 minutos e 38 segundos neste mundo estranho;R$ 49,90;R$ 41,58;https://leitura.com.br/10-minutos-e-38-segundos-neste-mundo-estranho-L999-9786555111484?page=1&limit=96
10 passos para uma vida de realização;R$ 54,90;R$ 45,75;https://leitura.com.br/10-passos-para-uma-vida-de-realizacao-L999-9786557121344?page=1&limit=96
10 Passos para você se tornar seu mestre;R$ 42,50;R$ 35,42;https://leitura.com.br/10-passos-para-voce-se-tornar-seu-mestre-L999-9788571830042?page=1&limit=96
10 peças de Shakespeare;R$ 49,80;R$ 41,33;https://leitura.com.br/10-pecas-de-shakespeare-L999-9788565383028?page=1&limit=96
10 razões para te amar;R$ 34,90;R$ 28,97;https://leitura.com.br/10-razoes-para-te-amar-L999-9788550700854?page=1&limit=96
10 reis e rainhas que mudaram o mundo;R$ 75,00;R$ 54,55;https://leitura.com.br/10-reis-e-rainhas-que-mudaram-o-mundo-L999-9788532274861?page=1&limit=96
10 respostas que vão mudar sua vida;R$ 29,90;R$ 24,82;https://leitura.com.br/10-respostas-que-vao-mudar-sua-vida-L999-9788522030910?page=1&limit=96
10 trends para seduzir seu melhor amigo;R$ 69,90;R$ 58,02;https://leitura.com.br/10-trends-para-seduzir-seu-melhor-amigo-L999-9786556093789?page=1&limit=96
10 vezes te amo mamae mamãe;R$ 36,90;R$ 30,63;https://leitura.com.br/10-vezes-te-amo-mamae-L999-9788550700830?page=1&limit=96
10 vezes te amo papai papai;R$ 36,90;R$ 28,97;https://leitura.com.br/10-vezes-te-amo-papai-L999-9788550700069?page=1&limit=96
101 coisas para fazer antes de casar engravidar ou envelhecer engravidar ou envelhecer;R$ 74,62;https://leitura.com.br/10-empreendedor-L999-9788595980174?page=1&limit=96;
14 Motivos Para Viver vencer e ser feliz Vencer E Ser Feliz;R$ 49,72;https://leitura.com.br/10-humano-L999-9788543103440?page=1&limit=96;
1789 : A história de Tiradentes contrabandistas assassinos e poetas que sonharam a Independência do Brasil.;R$ 49,92;https://leitura.com.br/10-mais-feliz-L999-9788543102351?page=1&limit=96;
3 Palavrinhas - Ler colorir e brincar;R$ 47,42;https://leitura.com.br/100-argumentos-biblicos-contra-o-sola-scriptura-L999-9786589125235?page=1&limit=96;
